date,open,high,low,close,volume,p_change,v_change
2012-08-20,1417.849976,1418.130005,1412.119995,1418.130005,2766320000,-2.12E-05,-0.053599225
2012-08-21,1418.130005,1426.680054,1410.859985,1413.170044,3282950000,-0.003497536,0.186757136
2012-08-22,1413.089966,1416.119995,1406.780029,1413.48999,3062690000,0.000226403,-0.067092097
2012-08-23,1413.48999,1413.48999,1400.5,1402.079956,3008240000,-0.008072243,-0.017778489
2012-08-24,1401.98999,1413.459961,1398.040039,1411.130005,2598790000,0.006454731,-0.136109486
2012-08-27,1411.130005,1416.170044,1409.109985,1410.439941,2472500000,-0.000489015,-0.048595693
2012-08-28,1410.439941,1413.630005,1405.589966,1409.300049,2629090000,-0.000808182,0.063332659
2012-08-29,1409.319946,1413.949951,1406.569946,1410.48999,2571220000,0.000844349,-0.022011418
2012-08-30,1410.079956,1410.079956,1397.01001,1399.47998,2530280000,-0.007805805,-0.015922403
2012-08-31,1400.069946,1413.089966,1398.959961,1406.579956,2938250000,0.005073296,0.16123512
2012-09-04,1406.540039,1409.310059,1396.560059,1404.939941,3200310000,-0.001165959,0.089189143
2012-09-05,1404.939941,1408.810059,1401.25,1403.439941,3389110000,-0.001067661,0.058994285
2012-09-06,1403.73999,1432.119995,1403.73999,1432.119995,3952870000,0.020435541,0.166344557
2012-09-07,1432.119995,1437.920044,1431.449951,1437.920044,3717620000,0.004049974,-0.05951372
2012-09-10,1437.920044,1438.73999,1428.97998,1429.079956,3223670000,-0.00614783,-0.132867265
2012-09-11,1429.130005,1437.76001,1429.130005,1433.560059,3509630000,0.003134956,0.08870635
2012-09-12,1433.560059,1439.150024,1432.98999,1436.560059,3641200000,0.002092692,0.037488282
2012-09-13,1436.560059,1463.76001,1435.339966,1459.98999,4606550000,0.016309747,0.265118642
2012-09-14,1460.069946,1474.51001,1460.069946,1465.77002,5041990000,0.003958952,0.094526272
2012-09-17,1465.420044,1465.630005,1457.550049,1461.189941,3482430000,-0.003124691,-0.309314378
2012-09-18,1461.189941,1461.469971,1456.130005,1459.319946,3377390000,-0.001279775,-0.030162846
